"domain","ip_address"
"movies123.cam"," 185.107.56.54"
"limetorrents.torrentbay.to","Addresses:  2606:4700:3037::ac43:9f21"
"ko2.torrenti.co.kr"," 10.14.0.70"
"french-stream.lol"," 199.59.243.228"
"123moviesd.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"yify.su"," 10.14.0.70"
"www.fmovie.cyou"," 10.14.0.70"
"www1.assistirsuperflix.com"," 10.14.0.70"
"papystreaming.onl"," 199.59.243.228"
"filmeflix.online"," 185.107.56.55"
"www.streamdeouf.net","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www.justseries.org"," 77.247.179.84"
"www.gomovies.cyou","Addresses:  13.248.169.48"
"www.elitetorrent.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"ww1.putlocker.pics","Addresses:  2606:4700:3034::ac43:c718"
"superflix.me","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"solarmovie.tw"," 10.14.0.70"
"project-free-tv.live"," 10.14.0.70"
"primewire.video"," 10.14.0.70"
"123movies.pizza","Addresses:  2600:3c03::f03c:95ff:fe91:5d52"
"123movies.express","Addresses:  76.223.54.146"
"ytsyify2020.com"," 185.107.56.53"
"yts.siteunblocked.info","Addresses:  2606:4700:3035::ac43:b8c5"
"www.thepiratefilmetorrent.tv"," 10.14.0.70"
"www.seriezloaded.com.ng","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www.seriesfilmestorrents.com"," 103.224.212.216"
"www.moztudo.com"," 103.224.182.211"
"www.mmfilmeshd.tv"," 10.14.0.70"
"www.megafilmeshds.com"," 199.59.243.228"
"www.comandotorrent.tv","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www.aoseugosto.com"," 69.16.230.165"
"www.anterux.com"," 10.14.0.70"
"ww3.watchmovie.movie","Addresses:  172.233.219.49"
"ww1.123movieshub.tc"," 103.224.182.238"
"torrentpicker.com"," 10.14.0.70"
"torrentfilmes.net","Addresses:  172.233.219.49"
"thepirate-day.org","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"sockshare1.com"," 72.52.179.175"
"seriesflixtv.org"," 37.48.65.154"
"ondeeubaixo.org","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"ondeeubaixo.net","Addresses:  172.233.219.123"
"ondebaixo.com"," 69.16.230.165"
"maxfilmestorrent.com"," 10.14.0.70"
"marketegidelim.kim"," 10.14.0.70"
"goobloeg.my.id"," 10.14.0.70"
"gofilmes.me","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"fmovies.co","Addresses:  2606:4700:3036::6815:39e2"
"filmy.link"," 104.247.82.52"
"filmestorrent.vip","Addresses:  ::ffff:146.112.61.107"
"aquitemfilmes.info"," 199.59.243.228"
"15.torrentube.net"," 185.107.56.53"
"123movies10.com","Addresses:  107.161.23.204"
"limetorrents.theproxysite.org","Addresses:  2606:4700:3033::6815:230c"
"tvshowtop.com"," 69.16.230.165"
"www.torrentdownloads.me","Addresses:  2606:4700:3030::6815:5524"
"www.fmovies8k.com"," 10.14.0.70"
"www.enstream.cc"," 162.210.195.122"
"www.cpasmal.site"," 103.224.182.211"
