work_description,infringing_url
"One Day at a Time: Season 3 Episode 7: The First Time
",20
"Dark: Season 3 Episode 2: The Survivors
",19
"The Witcher: Season 1 Episode 4: Of Banquets, Bastards and Burials
",19
"Raising Dion: Season 1 Episode 3: ISSUE #103: Watch Man
",19
"Raising Dion: Season 1 Episode 7: ISSUE #107: Why So Vomity?
",19
"Paranormal: Season 1: ""The Myth of the House""
",19
FILM - Hasta el cielo - Sky High,19
"Hollywood: Season 1 Episode 7: A Hollywood Ending
",19
"White Lines: Season 1 Episode 5: Episode 5
",19
"White Lines: Season 1 Episode 6: Episode 6
",19
"Rebecca
",19
"Ozark: Season 3 Episode 6: Su Casa Es Mi Casa
",19
"Raising Dion: Season 1 Episode 6: ISSUE #106: Super Friends
",19
"EMILY IN PARIS: Season 1: ""Masculin Féminin""
",19
"A Series of Unfortunate Events: Season 3 Episode 1: Slippery Slope: Part 1
",18
"White Lines: Season 1 Episode 10: Episode 10
",18
"Raising Dion: Season 1 Episode 1: ISSUE #101: How Do You Raise a Superhero?
",18
"Kingdom: Season 2 Episode 2: Episode 2
",18
"Ozark: Season 3 Episode 10: All In
",18
"Netflix: There's Someone Inside Your House
",18
"White Lines: Season 1 Episode 3: Episode 3
",18
"The Witcher: Season 1 Episode 1: The End’s Beginning
",18
"White Lines: Season 1 Episode 7: Episode 7
",18
"Disenchantment: Season 1 Episode 2: For Whom the Pig Oinks
",18
"The Gift: Season 1 Episode 6: Episode 6
",18
"White Lines: Season 1 Episode 9: Episode 9
",18
"The Witcher: Season 1 Episode 6: Rare Species
",17
"Paranormal: Season 1: ""The Myth of the Naiad""
",17
"The Gift: Season 1 Episode 5: Episode 5
",17
"The Gift: Season 1 Episode 2: Episode 2
",17
"The Gift: Season 1 Episode 4: Episode 4
",17
"White Lines: Season 1 Episode 8: Episode 8
",17
"Altered Carbon: Season 2 Episode 6: Bury Me Dead
",17
"Disenchantment: Season 1 Episode 3: The Princess of Darkness
",17
"Ozark: Season 3 Episode 2: Civil Union
",17
"EMILY IN PARIS: Season 1: ""Cancel Couture""
",17
"Raising Dion: Season 1 Episode 9: ISSUE #109: Storm Killer
",17
"Raising Dion: Season 1 Episode 5: ISSUE #105: Days of Mark's Future Past
",17
"Paranormal: Season 1: ""The Myth of the Incubus""
",17
"Ozark: Season 3 Episode 9: Fire Pink
",17
"Kingdom: Season 2 Episode 3: Episode 3
",17
"Elite: Season 3 Episode 2: Samuel and Guzmán
",17
"EMILY IN PARIS: Season 1: ""Emily in Paris""
",17
"Kingdom: Season 2 Episode 6: Episode 6
",16
"EMILY IN PARIS: Season 1: ""French Ending""
",16
"EMILY IN PARIS: Season 1: ""Faux Amis""
",16
"Ozark: Season 3 Episode 8: BFF
",16
"Paranormal: Season 1: ""The Myth of the Guardian of The Cave""
",16
"13 Reasons Why: Season 1 Episode 2: Tape 1, Side B
",16
Luis Miguel - The Series,16
MOVIE - El inocente - The Innocent,16
"The Christmas Chronicles: Part Two
",16
"Disenchantment: Season 1 Episode 10: Dreamland Falls
",16
"Big Mouth: Season 4: ""The New Me""
",16
"The Crown: Season 4: ""Gold Stick""
",16
"Elite: Season 3 Episode 1: Carla
",16
"EMILY IN PARIS: Season 1: ""An American Auction in Paris""
",16
"Lost in Space: Season 2 Episode 5: Run
",16
"Have You Ever Seen Fireflies?
",16
"Altered Carbon: Season 2 Episode 7: Experiment Perilous
",16
"The Witcher: Season 1 Episode 7: Before a Fall
",15
"The Witcher: Season 1 Episode 2: Four Marks
",15
"EMILY IN PARIS: Season 1: ""Ringarde""
",15
"Stranger Things: Season 2 Episode 2: Chapter Two: Trick or Treat, Freak
",15
"Paranormal: Season 1: ""The Myth of the House: The Return""
",15
"GLOW: Season 1 Episode 1: Pilot
",15
The Way of the Househusband,15
"Netflix: The Babysitter: Killer Queen
",15
"Disenchantment: Season 1 Episode 7: Love's Tender Rampage
",15
"Disenchantment: Season 1 Episode 1: A Princess, an Elf, and a Demon Walk Into a Bar
",15
"Lost in Space: Season 2 Episode 1: Shipwrecked
",15
"Lost in Space: Season 2 Episode 10: Ninety-Seven
",15
"Dark: Season 3 Episode 4: The Origin
",15
"Sex Education: Season 2 Episode 8: Episode 8
",15
"Altered Carbon: Season 2 Episode 3: Nightmare Alley
",14
"Altered Carbon: Season 2 Episode 5: I Wake Up Screaming
",14
"Lost in Space: Season 1 Episode 9: Resurrection
",14
"Kingdom: Season 2 Episode 4: Episode 4
",14
"The Crown: Season 4: ""Fagan""
",14
"Castlevania: Season 3 Episode 7: Worse Things Than Betrayal
",14
"Castlevania: Season 2 Episode 7: For Love
",14
"Ozark: Season 3 Episode 5: It Came From Michoacán
",14
"Disenchantment: Season 1 Episode 8: The Limits of Immortality
",14
"Castlevania: Season 3 Episode 8: What the Night Brings
",14
"EMILY IN PARIS: Season 1: ""A Kiss Is Just A Kiss""
",14
"House of Cards: Chapter 14
",14
"13 Reasons Why: Season 1 Episode 3: Tape 2, Side A
",14
"Hollywood: Season 1 Episode 2: Hooray for Hollywood: Part 2
",14
"Disenchantment: Season 1 Episode 9: To Thine Own Elf Be True
",14
"Disenchantment: Season 1 Episode 5: Faster, Princess! Kill! Kill!
",14
"Castlevania: Season 2 Episode 4: Broken Mast
",13
"Castlevania: Season 3 Episode 3: Investigators
",13
Girl from Nowhere,13
"Elite: Season 3 Episode 6: Rebeca
",13
"Elite: Season 3 Episode 5: Ander
",13
"Lost in Space: Season 1 Episode 5: Transmission
",13
"Netflix: Spenser Confidential
",13
"Lost in Space: Season 1 Episode 2: Diamonds In The Sky
",13
"Castlevania: Season 2 Episode 8: End Times
",13
"Castlevania: Season 2 Episode 3: Shadow Battles
",13
"Castlevania: Season 2 Episode 6: The River
",13
"Cursed: Season 1 Episode 1: Nimue
",13
"The Crown: Season 3 Episode 5: Coup
",13
"Castlevania: Season 3 Episode 9: The Harvest
",13
"Castlevania: Season 3 Episode 6: The Good Dream
",13
"The Crown: Season 4: ""Terra Nullius""
",13
"Castlevania: Season 2 Episode 2: Old Homes
",13
"The Crown: Season 4: ""The Balmoral Test""
",13
"Castlevania: Season 3 Episode 2: The Reparation of My Heart
",13
"Castlevania: Season 3 Episode 1: Bless Your Dead Little Hearts
",12
"Altered Carbon: Season 2 Episode 2: Payment Deferred
",12
"Castlevania: Season 3 Episode 4: I Have a Scheme
",12
"Castlevania: Season 2 Episode 5: Last Spell
",12
"Altered Carbon: Season 2 Episode 8: Broken Angels
",12
"Elite: Season 3 Episode 4: Lu
",12
"Lost in Space: Season 2 Episode 9: Shell Game
",12
"Lost in Space: Season 1 Episode 10: Danger, Will Robinson
",12
Haunted: Latinoamérica,12
"Lost in Space: Season 1 Episode 6: Eulogy
",12
"Disenchantment: Season 1 Episode 6: Swamp and Circumstance
",12
"Godzilla Singular Point: Season 1: ""Episode 6""
",12
"Lost in Space: Season 1 Episode 7: Pressurized
",12
"Disenchantment: Season 1 Episode 4: Castle Party Massacre
",12
"Netflix: Stranger Things
",12
"Castlevania: Season 3 Episode 5: A Seat of Civilisation and Refinement
",12
"The Crown: Season 3 Episode 6: Tywysog Cymru
",12
"Disenchantment: Season 2 Episode 8: In Her Own Write
",11
"Disenchantment: Season 2 Episode 2: Stairway to Hell
",11
"House of Cards: Chapter 33
",11
"Cursed: Season 1 Episode 6: Festa and Moreii
",11
"The Crown: Season 3 Episode 9: Imbroglio
",11
Space Sweepers,11
"Netflix: Enola Holmes
",11
MOVIE - Más loco que una cabra - Cabras da Peste,11
"Netflix: La casa de papel
",11
"The Crown: Season 4: ""Favourites""
",11
"Black Mirror: Hated in the Nation
",11
Netflix: Бриджертоны (Bridgerton),11
"Godzilla Singular Point: Season 1: ""Episode 5""
",11
"13 Reasons Why: Season 1 Episode 1: Tape 1, Side A
",11
"Lost in Space: Season 1 Episode 3: Infestation
",11
"Kingdom: Season 2 Episode 5: Episode 5
",10
Invisible City,10
"Lost in Space: Season 1 Episode 8: Trajectory
",10
"Netflix: Sex Education
",10
"Disenchantment: Season 2 Episode 6: The Dreamland Job
",10
"Big Mouth: Season 4: ""The Funeral""
",10
"Netflix: Warrior Nun
",10
"Disenchantment: Season 2 Episode 10: Tiabeanie Falls
",10
"Designated Survivor: Season 3 Episode 7: #identity/crisis
",10
"Netflix: The Wrong Missy
",10
"Disenchantment: Season 2 Episode 4: The Lonely Heart Is a Hunter
",10
"Elite: Season 3 Episode 7: Nadia and Omar
",10
"13 Reasons Why: Season 2 Episode 3: The Drunk Slut
",10
"Altered Carbon: Season 2 Episode 4: Shadow of a Doubt
",10
"Godzilla Singular Point: Season 1: ""Episode 8""
",10
"The Crown: Act of God
",10
"The Crown: Scientia Potentia Est
",10
Sky Rojo,10
"Lost in Space: Season 2 Episode 8: Unknown
",10
"Godzilla Singular Point: Season 1: ""Episode 4""
",9
"Elite: Season 3 Episode 8: Polo
",9
"Elite: Season 3 Episode 3: Cayetana and Valerio
",9
"Sex Education: Season 2 Episode 1: Episode 1
",9
"Cursed: Season 1 Episode 2: Cursed
",9
"Designated Survivor: Season 3 Episode 2: #slipperyslope
",9
"The Crown: Gelignite
",9
"The Crown: Season 3 Episode 4: Bubbikins
",9
"Narcos: Season 3 Episode 2: The Cali KGB
",9
"The Gift: Season 1 Episode 3: Episode 3
",9
"Lost in Space: Season 2 Episode 3: Echoes
",9
"Black Mirror: Men Against Fire
",9
"Transformers: War For Cybertron Trilogy: Season 1 Episode 2: Episode 2
",9
"Disenchantment: Season 2 Episode 9: The Electric Princess
",9
"The Crown: Windsor
",9
"Disenchantment: Season 2 Episode 1: The Disenchantress
",9
